epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.835,2.24223,1.21256,0.98716,0.83177,0.7387,0.80489,0.30555,2.03523,0.90718,0.93722,0.06712,0.000332121,0.000332121
2,247.709,2.05231,0.95059,0.94349,0.85224,0.79565,0.85604,0.34881,1.94405,0.82994,0.92431,0.0341198,0.000665292,0.000665292
3,375.696,2.00739,0.88334,0.93939,0.88669,0.81193,0.87427,0.36596,1.93126,0.81255,0.92106,0.00111902,0.000997812,0.000997812
4,496.29,1.97003,0.85243,0.93817,0.88715,0.8209,0.86578,0.35974,1.92352,0.81272,0.92023,0.000997803,0.000997803,0.000997803
5,611.964,1.95258,0.83273,0.92516,0.89442,0.8366,0.89044,0.38523,1.88187,0.78473,0.91366,0.000996097,0.000996097,0.000996097
6,741.544,1.92694,0.81549,0.92272,0.88896,0.8348,0.87097,0.36444,1.91899,0.78316,0.92063,0.000993906,0.000993906,0.000993906
7,882.336,1.90502,0.81319,0.92049,0.91018,0.84769,0.89861,0.39291,1.83713,0.7646,0.90457,0.000991232,0.000991232,0.000991232
8,1009.89,1.87447,0.79369,0.91504,0.88852,0.85968,0.90436,0.39139,1.84993,0.76337,0.90577,0.000988079,0.000988079,0.000988079
9,1129.88,1.89931,0.80006,0.91656,0.9018,0.84576,0.90061,0.39967,1.86356,0.76979,0.91215,0.000984449,0.000984449,0.000984449
10,1254.8,1.86555,0.77014,0.91406,0.91428,0.85718,0.91308,0.41357,1.81271,0.74401,0.90118,0.000980345,0.000980345,0.000980345
11,1383.37,1.87662,0.78462,0.91476,0.89905,0.86526,0.90984,0.40219,1.81566,0.75803,0.8977,0.000975773,0.000975773,0.000975773
12,1506.32,1.87829,0.78274,0.91271,0.90702,0.86455,0.91121,0.41332,1.81099,0.74821,0.90148,0.000970736,0.000970736,0.000970736
13,1626.81,1.881,0.79342,0.90987,0.90948,0.87098,0.91664,0.41439,1.80551,0.74457,0.89938,0.000965239,0.000965239,0.000965239
14,1747.52,1.86607,0.77987,0.91386,0.9083,0.87416,0.91421,0.40094,1.82166,0.75371,0.90086,0.000959289,0.000959289,0.000959289
15,1865.77,1.85261,0.77238,0.90265,0.91408,0.86903,0.91426,0.41125,1.80081,0.73421,0.8984,0.000952889,0.000952889,0.000952889
16,1993.63,1.83068,0.75211,0.90638,0.89499,0.86461,0.91067,0.39102,1.87879,0.749,0.90524,0.000946048,0.000946048,0.000946048
17,2117.47,1.83673,0.75683,0.90706,0.91465,0.87437,0.92245,0.41567,1.80198,0.72322,0.89742,0.000938772,0.000938772,0.000938772
18,2235.59,1.8144,0.75075,0.90255,0.91322,0.87257,0.92224,0.41753,1.79457,0.73571,0.89699,0.000931067,0.000931067,0.000931067
19,2351.35,1.83277,0.75334,0.9026,0.90794,0.8802,0.92859,0.42275,1.78884,0.72724,0.89541,0.000922942,0.000922942,0.000922942
20,2466.1,1.80757,0.74416,0.89933,0.91347,0.88615,0.9297,0.42429,1.78399,0.72569,0.89529,0.000914405,0.000914405,0.000914405
21,2581.67,1.82374,0.76062,0.90617,0.91657,0.877,0.92377,0.41386,1.80063,0.73661,0.8966,0.000905463,0.000905463,0.000905463
22,2697.25,1.84503,0.75467,0.90582,0.9208,0.87897,0.92487,0.42282,1.77014,0.70997,0.8943,0.000896127,0.000896127,0.000896127
